,School_ID,Short_Name,School_Type,Primary_Category
0,"400,116",MONTESSORI ENGLEWOOD,Charter,ES
1,"400,115",CATALYST - MARIA,Charter,ES
2,"400,056",NOBLE - ROWE CLARK HS,Charter,HS
3,"610,588",RICHARDSON,Neighborhood,MS
4,"610,548",STEM,Magnet,ES
5,"610,052",MANN,Neighborhood,ES
6,"609,988",HENRY,Neighborhood,ES
7,"609,830",BRUNSON,Neighborhood,ES
8,"609,930",FUNSTON,Neighborhood,ES
9,"610,095",NEWBERRY,Magnet,ES
10,"400,157",NOBLE - BAKER HS,Charter,HS
11,"610,133",WARD L,Neighborhood,ES
12,"610,534",SKINNER NORTH,Classical,ES
13,"609,809",BRENTANO,Neighborhood,ES
14,"610,366",WACKER,Neighborhood,ES
15,"400,113",CICS - CHICAGOQUEST HS,Charter,HS
16,"609,902",METCALFE,Neighborhood,ES
17,"400,075",U OF C - DONOGHUE,Charter,ES
18,"610,203",TONTI,Neighborhood,ES
19,"400,179",NOBLE - MANSUETO HS,Charter,HS
20,"400,077",U OF C - WOODLAWN HS,Charter,HS
21,"610,098",NOBEL,Neighborhood,ES
22,"400,141",YCCS - TRUMAN,Charter,HS
23,"400,076",U OF C - NKO,Charter,ES
24,"610,257",MORTON,Neighborhood,ES
25,"400,124",YCCS - MCKINLEY,Charter,HS
26,"400,035",CHICAGO MATH & SCIENCE HS,Charter,HS
27,"610,363",DISNEY,Magnet,ES
28,"610,093",NEIL,Neighborhood,ES
29,"609,976",HAYT,Neighborhood,ES
30,"400,097",NOBLE - BULLS HS,Charter,HS
31,"400,047",LEARN - CAMPBELL,Charter,ES
32,"400,054",NOBLE - PRITZKER HS,Charter,HS
33,"610,176",SHOOP,Neighborhood,ES
34,"400,060",AHS - PASSAGES,Charter,ES
35,"400,021",CATALYST - CIRCLE ROCK,Charter,ES
36,"400,170",NOBLE - ACADEMY HS,Charter,HS
37,"610,091",BROWN R,Neighborhood,ES
38,"609,950",ORTIZ DE DOMINGUEZ,Neighborhood,ES
39,"400,145",YCCS - YOUTH CONNECTION,Charter,HS
40,"400,139",YCCS - SULLIVAN,Charter,HS
41,"610,026",KINZIE,Neighborhood,ES
42,"609,756",CURIE HS,Magnet,HS
43,"400,118",NOBLE - DRW HS,Charter,HS
44,"400,117",NOBLE - HANSBERRY HS,Charter,HS
45,"400,096",ROWE,Charter,ES
46,"609,727",PHILLIPS HS,Neighborhood,HS
47,"609,853",CHASE,Neighborhood,ES
48,"400,080",ACERO - TORRES,Charter,ES
49,"610,006",HURLEY,Neighborhood,ES
50,"609,933",GALE,Neighborhood,ES
51,"609,836",CANTY,Neighborhood,ES
52,"609,863",COLUMBUS,Neighborhood,ES
53,"610,148",CHAVEZ,Neighborhood,ES
54,"400,048",LEARN - EXCEL,Charter,ES
55,"400,143",YCCS - WEST TOWN,Charter,HS
56,"400,150",YCCS - CHATHAM,Charter,HS
57,"400,169",NOBLE - ITW SPEER HS,Charter,HS
58,"610,083",BEARD,Special Education,ES
59,"610,276",MOLLISON,Neighborhood,ES
60,"610,402",DEVRY HS,Magnet,HS
61,"610,076",MOOS,Neighborhood,ES
62,"400,025",CICS - BUCKTOWN,Charter,ES
63,"610,593",OMBUDSMAN - ROSELAND HS,Citywide-Option,HS
64,"610,594",PATHWAYS - HUMBOLDT PARK HS,Citywide-Option,HS
65,"610,544",AZUELA,Neighborhood,ES
66,"610,159",SCAMMON,Neighborhood,ES
67,"400,130",YCCS - YOUTH DEVELOPMENT,Charter,HS
68,"610,570",OMBUDSMAN - SOUTH HS,Citywide-Option,HS
69,"609,871",VICK,Special Education,ES
70,"610,089",MURPHY,Neighborhood,ES
71,"400,057",NOBLE - UIC HS,Charter,HS
